idx,number,title,content_len,text_hash,content_sample
364,312,ТК РФ Статья 312.8. Дополнительные основания прекращения трудового договора с дистанционным работником,1802,1db106188c278ed7ebd9de5362f73fd1c30c0d6bc4fdd4651bfb793122611254,"ТК РФ Статья 312.8. Дополнительные основания прекращения трудового договора с дистанционным работником

(введена Федеральным законом от 08.12.2020 N 407-ФЗ)

Подборка форм: Увольнение дистанционного р"
365,312,"Как временно перевести работника на дистанционную работу по инициативе работодателя
ТК РФ Статья 312.9. Порядок временного перевода работника на дистанционную работу по инициативе работодателя в исключительных случаях",6225,05af24d656421b4c50b41587a784bbeeef3d3fdb0a946a0421a08add95a0b486,"Как временно перевести работника на дистанционную работу по инициативе работодателя
ТК РФ Статья 312.9. Порядок временного перевода работника на дистанционную работу по инициативе работодателя в исклю"
380,327,ТК РФ Статья 327. Другие гарантии и компенсации,568,a2c19ee9b7145656f2d8f5482e570b2c9999271d2ac220ac6dc91f86ab5d6562,"ТК РФ Статья 327. Другие гарантии и компенсации

Гарантии и компенсации в области социального страхования, пенсионного обеспечения, жилищных правоотношений и другие устанавливаются лицам, работающим в"
381,327,ТК РФ Статья 327.1. Общие положения,1684,e9d0b97a27077c087b5e2705aa6f992ccb08769dc91f196e3bebcee67028e474,"ТК РФ Статья 327.1. Общие положения

На трудовые отношения между работником, являющимся иностранным гражданином или лицом без гражданства, и работодателем распространяются правила, установленные трудо"
382,327,"Как принять на работу иностранца
ТК РФ Статья 327.2. Особенности заключения трудового договора с работником, являющимся иностранным гражданином или лицом без гражданства",3163,df318223f3e825bf0d4808de831772e1c9b7da0fd3ffb2c780bdc16ffc40f0e8,"Как принять на работу иностранца
ТК РФ Статья 327.2. Особенности заключения трудового договора с работником, являющимся иностранным гражданином или лицом без гражданства

Подборка форм: Трудовые догов"
383,327,"Какие документы при приеме на работу предъявляют граждане государств - членов ЕАЭС
ТК РФ Статья 327.3. Документы, предъявляемые иностранным гражданином или лицом без гражданства при приеме на работу",3352,1f9eaac3294ae47f719cd418a0fe3b016a8f1c9b0327392cafa4130c12add771,"Какие документы при приеме на работу предъявляют граждане государств - членов ЕАЭС
ТК РФ Статья 327.3. Документы, предъявляемые иностранным гражданином или лицом без гражданства при приеме на работу

"
384,327,"ТК РФ Статья 327.4. Особенности временного перевода работника, являющегося иностранным гражданином или лицом без гражданства",1572,d2a658546ccd192585fc12213089c09584569b662cc68bc4e79ebfab400a755d,"ТК РФ Статья 327.4. Особенности временного перевода работника, являющегося иностранным гражданином или лицом без гражданства

В случаях, предусмотренных частями второй и третьей статьи 72.2 настоящего"
385,327,"ТК РФ Статья 327.5. Особенности отстранения от работы работника, являющегося иностранным гражданином или лицом без гражданства",2388,f02d5c1d56f123426309718201dc19a7673b7022afc4c34a5a28e576b9321f1b,"ТК РФ Статья 327.5. Особенности отстранения от работы работника, являющегося иностранным гражданином или лицом без гражданства

Наряду со случаями, указанными в статье 76 настоящего Кодекса, работодат"
386,327,"ТК РФ Статья 327.6. Особенности прекращения трудового договора с работником, являющимся иностранным гражданином или лицом без гражданства",5131,6f5a85b5be7734c7c67719b225dc71849d8686365b34d277907953c9152d9f91,"ТК РФ Статья 327.6. Особенности прекращения трудового договора с работником, являющимся иностранным гражданином или лицом без гражданства

Нужно ли увольнять работника-иностранца, попавшего в реестр к"
387,327,"ТК РФ Статья 327.7. Особенности выплаты выходного пособия работнику, являющемуся иностранным гражданином или лицом без гражданства",704,a91568edff0c2ac10734a355c34094c83adb25fda01d6382fd4a5abc3f2456be,"ТК РФ Статья 327.7. Особенности выплаты выходного пособия работнику, являющемуся иностранным гражданином или лицом без гражданства

Наряду со случаями, предусмотренными частью восьмой статьи 178 насто"
